,Normal Class,Epoch,AUC
0,0,50,0.8723916532905296
1,0,100,0.7363563402889245
2,0,150,0.8061797752808989
3,0,200,0.8615569823434992
4,0,250,0.774478330658106
5,0,300,0.7965489566613162
6,0,350,0.7941412520064206
7,0,400,0.7981540930979133
8,0,450,0.812199036918138
9,0,500,0.8864365971107544
10,1,50,0.8446115288220551
11,1,100,0.8847117794486216
12,1,150,0.8696741854636592
13,1,200,0.9147869674185464
14,1,250,0.8805346700083542
15,1,300,0.9340016708437762
16,1,350,0.898078529657477
17,1,400,0.913951545530493
18,1,450,0.9206349206349207
19,1,500,0.9181286549707602
20,2,50,0.8468070652173912
21,2,100,0.788383152173913
22,2,150,0.8125
23,2,200,0.8777173913043478
24,2,250,0.8661684782608696
25,2,300,0.8661684782608696
26,2,350,0.8274456521739131
27,2,400,0.8756793478260869
28,2,450,0.8722826086956521
29,2,500,0.8474864130434783
30,3,50,0.9935064935064936
31,3,100,0.9805194805194805
32,3,150,0.9935064935064934
33,3,200,0.9870129870129871
34,3,250,0.9981962481962482
35,3,300,0.9898989898989898
36,3,350,0.9819624819624819
37,3,400,0.9855699855699855
38,3,450,0.9758297258297258
39,3,500,0.974025974025974
40,4,50,0.9429824561403508
41,4,100,0.9394736842105265
42,4,150,0.9210526315789473
43,4,200,0.9105263157894736
44,4,250,0.9543859649122806
45,4,300,0.9368421052631579
46,4,350,0.9570175438596491
47,4,400,0.9517543859649124
48,4,450,0.9754385964912281
49,4,500,0.9578947368421052
50,5,50,0.9896825396825397
51,5,100,0.9936507936507937
52,5,150,1.0
53,5,200,1.0
54,5,250,1.0
55,5,300,0.9984126984126984
56,5,350,0.9992063492063492
57,5,400,1.0
58,5,450,0.9992063492063492
59,5,500,1.0
60,6,50,0.9338455772113943
61,6,100,0.933095952023988
62,6,150,0.9527736131934033
63,6,200,0.9398425787106447
64,6,250,0.9531484257871063
65,6,300,0.9604572713643179
66,6,350,0.9379685157421289
67,6,400,0.9484632683658171
68,6,450,0.9411544227886056
69,6,500,0.9561469265367316
70,7,50,0.7654567211806941
71,7,100,0.8049461507778221
72,7,150,0.8827283605903471
73,7,200,0.8763462305544476
74,7,250,0.9014758675708019
75,7,300,0.9218189070602313
76,7,350,0.9521340247307538
77,7,400,0.9329876346230555
78,7,450,0.9313921021140806
79,7,500,0.9461507778220982
80,8,50,0.9860714285714286
81,8,100,0.8339285714285714
82,8,150,0.9985714285714287
83,8,200,1.0
84,8,250,0.9392857142857143
85,8,300,0.9967857142857143
86,8,350,1.0
87,8,400,1.0
88,8,450,0.9985714285714287
89,8,500,0.9957142857142858
90,9,50,0.8836754643206256
91,9,100,0.8905180840664711
92,9,150,0.9178885630498533
93,9,200,0.9271749755620723
94,9,250,0.9423264907135875
95,9,300,0.8988269794721407
96,9,350,0.9359726295210166
97,9,400,0.9608993157380255
98,9,450,0.9257086999022484
99,9,500,0.9330400782013686
100,10,50,0.8295144571740317
101,10,100,0.8617021276595745
102,10,150,0.8357883251500273
103,10,200,0.8685215493726132
104,10,250,0.900709219858156
105,10,300,0.9015275504637207
106,10,350,0.7127659574468085
107,10,400,0.7681396617566831
108,10,450,0.8000545553737043
109,10,500,0.914620840152755
110,11,50,0.837466693994671
111,11,100,0.848329575732732
112,11,150,0.8739495798319328
113,11,200,0.8928059028489445
114,11,250,0.8673908587825374
115,11,300,0.9167862266857962
116,11,350,0.8766140602582496
117,11,400,0.8954703832752613
118,11,450,0.9141217462594794
119,11,500,0.883172781307645
120,12,50,0.913888888888889
121,12,100,0.9083333333333333
122,12,150,0.6611111111111111
123,12,200,0.9666666666666668
124,12,250,0.9472222222222222
125,12,300,0.9166666666666667
126,12,350,0.9500000000000001
127,12,400,0.725
128,12,450,0.925
129,12,500,0.986111111111111
130,13,50,0.8904166666666666
131,13,100,0.8583333333333334
132,13,150,0.87375
133,13,200,0.8654166666666667
134,13,250,0.9079166666666666
135,13,300,0.8633333333333333
136,13,350,0.8645833333333334
137,13,400,0.8458333333333334
138,13,450,0.8920833333333335
139,13,500,0.8066666666666666
140,14,50,0.9041491596638656
141,14,100,0.9267331932773109
142,14,150,0.9655987394957983
143,14,200,0.9729516806722689
144,14,250,0.9624474789915967
145,14,300,0.9705882352941178
146,14,350,0.965861344537815
147,14,400,0.95640756302521
148,14,450,0.9698004201680672
149,14,500,0.9684873949579832
