,Normal Class,Epoch,AUC
0,0,50,0.8972473333333333
1,0,100,0.9326066666666666
2,0,150,0.9371141111111112
3,0,200,0.9383901666666667
4,0,250,0.9372119999999999
5,0,300,0.9375176666666667
6,0,350,0.9377832222222222
7,0,400,0.9375946666666666
8,0,450,0.9387098888888888
9,0,500,0.9394282222222221
10,1,50,0.9415144444444444
11,1,100,0.9475313888888889
12,1,150,0.9460959444444446
13,1,200,0.9523301111111111
14,1,250,0.9530431111111111
15,1,300,0.9514353333333334
16,1,350,0.9524778333333335
17,1,400,0.9523723333333334
18,1,450,0.9515899444444444
19,1,500,0.9509822222222222
20,2,50,0.8203516666666666
21,2,100,0.8528912222222222
22,2,150,0.8546593888888889
23,2,200,0.8363961666666668
24,2,250,0.8455904444444444
25,2,300,0.8553646666666667
26,2,350,0.8464213333333332
27,2,400,0.8530872222222223
28,2,450,0.8489144444444444
29,2,500,0.8493517777777777
30,3,50,0.8521080000000001
31,3,100,0.846881
32,3,150,0.858474888888889
33,3,200,0.8690998888888889
34,3,250,0.8741380000000001
35,3,300,0.8649358333333332
36,3,350,0.8741468888888888
37,3,400,0.8699508888888889
38,3,450,0.8692811111111112
39,3,500,0.8721008888888888
40,4,50,0.9247906666666666
41,4,100,0.9306034444444444
42,4,150,0.9318675555555556
43,4,200,0.9329517777777778
44,4,250,0.9309822222222223
45,4,300,0.9331052777777777
46,4,350,0.9345433333333334
47,4,400,0.9343063333333333
48,4,450,0.934207
49,4,500,0.9337387777777777
50,5,50,0.8855355555555555
51,5,100,0.8980828888888889
52,5,150,0.8966666666666666
53,5,200,0.8898267222222221
54,5,250,0.9020892222222222
55,5,300,0.8969337777777777
56,5,350,0.9013674444444445
57,5,400,0.9008193333333334
58,5,450,0.9000852222222222
59,5,500,0.9019573333333333
60,6,50,0.9350304444444444
61,6,100,0.9360706666666667
62,6,150,0.9343808888888888
63,6,200,0.9399217777777777
64,6,250,0.9413652777777777
65,6,300,0.9383043333333333
66,6,350,0.939918
67,6,400,0.9400543888888889
68,6,450,0.939368
69,6,500,0.9415676666666666
70,7,50,0.9206332222222222
71,7,100,0.9215194999999999
72,7,150,0.9333433333333333
73,7,200,0.926679
74,7,250,0.9309122777777779
75,7,300,0.9327485555555556
76,7,350,0.9286085555555554
77,7,400,0.9332806666666666
78,7,450,0.9320134444444444
79,7,500,0.932697
80,8,50,0.937113
81,8,100,0.9425682222222224
82,8,150,0.9491852222222222
83,8,200,0.9453383333333334
84,8,250,0.9421056666666667
85,8,300,0.9434890555555555
86,8,350,0.9476962222222222
87,8,400,0.9447482777777778
88,8,450,0.9458723333333333
89,8,500,0.9454830000000001
90,9,50,0.9358751111111112
91,9,100,0.9313771111111111
92,9,150,0.9414106666666667
93,9,200,0.9428483333333334
94,9,250,0.9442723888888889
95,9,300,0.9440341111111112
96,9,350,0.9446075555555555
97,9,400,0.943026
98,9,450,0.9444533333333334
99,9,500,0.9439566111111111
